Q,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,Q,english_src,spanish_tgt,per_type,severity
1,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),1,"A variety of misinformation and conspiracy theories about the virus are being promoted online and even by some government officials, so be careful which sources you check for information.","Se están propagando en línea diversas teorías conspirativas e información errónea sobre el virus, incluso por parte de algunos funcionarios gubernamentales, por lo que debe tener cuidado con las fuentes de las que obtiene información.",synonym,minor
2,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),2,"Alcohol is a quick germ-killer, but it's not quite instant, so this still requires the same 20 seconds of rubbing your hands together, making sure that every single scrap of skin gets wet, and then you have to wait about another minute, for the alcohol to completely dry.","El alcohol mata los gérmenes en forma rápida pero no instantánea, por lo que también en este caso es necesario frotarse las manos por 20 segundos y asegurarse de que se humedezca la totalidad de la piel; después de esto, se debe esperar un minuto más, aproximadamente, para que el alcohol se seque completamente.",no_error,no_error
3,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),3,"Among these 7,162 cases, 2,692 (37.6%) patients had one or more underlying health condition or risk factor, and 4,470 (62.4%) had none of these conditions reported.","Entre estos 7162 casos, 2692 (37,6 %) pacientes no tenían una o más afecciones médicas subyacentes o factores de riesgo, y 4470 (62,4 %) tenían alguna de estas afecciones informadas.",alteration,critical
4,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),4,"As coronaviruses are enveloped viruses, washing your hands with soap kills the virus by disrupting the mostly fat-based viral envelope.","Debido a que los coronavirus no son virus encapsulados, lavarse las manos con jabón mata al virus al deteriorar la envoltura vírica que se compone principalmente de grasas.",alteration,critical
5,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),5,"As it happens, you probably aren't missing much by staying home, as many attractions around the world are closing their doors to avoid spreading the disease.","De hecho, es probable que no se pierda de mucho por quedarse en casa, ya que muchas de las atracciones en todo el mundo están cerrando sus puertas para evitar la propagación de la enfermedad.",no_error,no_error
6,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),6,"As of February 2020, the period of infectiousness is unknown, but is likely most significant when people are symptomatic.","Al mes de febrero de 2020, se desconoce el período de infectividad, pero probablemente sea más significativo en el caso de las personas sintomáticas.",no_error,no_error
7,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),7,"As of March 28, 2020, a total of 571,678 confirmed COVID-19 cases and 26,494 deaths have been reported worldwide.","Al 28 de marzo de 2020, se ha registrado un total de 571 678 casos confirmados de COVID-19 y 26 494 muertes en todo el mundo.",no_error,no_error
8,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),8,"Case fatality rate is estimated at 1-3% of infected individuals, most of whom are elderly with underlying health conditions.","Se estima que la tasa de letalidad es del 1 % al 3 % de las personas contagiadas, la mayoría de las cuales son adultos mayores con afecciones de salud subyacentes.",no_error,no_error
9,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),9,"Case fatality rate is estimated at 1-3% of infected individuals, most of whom are elderly with underlying health conditions.","Se estima que la tasa de letalidad es del 1 % al 3 % de las personas contagiadas, la mayoría de las cuales son adultos mayores.",omission,critical
10,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),10,"Common symptoms include a fever, dry cough, and fatigue.","Entre los síntomas comunes se incluyen la fiebre, la tos seca y la fatiga.",no_error,no_error
11,Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),11,Effective hand washing requires rubbing your hands for at least 20 seconds.,"Para que el lavado de manos sea efectivo, debe durar al menos segundos.",omission,critical
12,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),12,"Even more countries have imposed restrictions on arriving travelers, either barring entry (maybe with an exception for local citizens and permanent residents) or requiring you to be quarantined, typically for 14 days.","Incluso más países han impuesto restricciones para los viajeros que llegan al país, ya sea que se les exija que hagan una cuarentena, que suele ser de 14 días, o se les deniegue el ingreso (quizás con la excepción de los ciudadanos y residentes permanentes del país).",word_order,minor
13,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),13,"For instance, most aggregators are not selling tickets from China to the United States (presumably to avoid falling afoul of restrictions and being on the hook for a passenger's flight out).","Por ejemplo, la mayoría de los agregadores turísticos no está vendiendo boletos de China a los Estados Unidos (aparentemente para evitar problemas debido a las restricciones y la obligación de reembolsarle al pasajero un viaje de salida).",synonym,minor
14,Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),14,"For those who are asymptomatic, the WHO does not recommend masks, though some national governments do.","En el caso de las personas asintomáticas, la OMS recomienda el uso de mascarillas, aunque algunos gobiernos nacionales no lo hacen.",alteration,critical
15,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),15,"If you are elderly or otherwise in a high-risk group and can be vaccinated for pneumonia, get that vaccination.","Si es un adulto mayor o se encuentra en un grupo de alto riesgo y puede vacunarce contra la neumonía, hágalo.",spelling,minor
16,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),16,"If you believe you may be infected, call a hospital or local emergency medical services instead of going in person to avoid infecting others.","Llame a un hospital o a los servicios locales de emergencias médicas si cree que podría haberse contagiado, en vez de ir en persona, para evitar contagiar a otras personas.",word_order,minor
17,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),17,"If you believe you may be infected, call a hospital or local emergency medical services instead of going in person to avoid infecting others.","Si cree que podría haberse contagiado, llame a los servicios locales de emergencias médicas en vez de ir en persona, para evitar contagiar a otras personas.",omission,critical
18,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),18,"If you can't find a way back to your country, contact your nearest embassy or consulate for assistance.","Si no encuentra la manera de regresar a su país, comuníquese con su embajada o su consulado más cercano para pedir asistencia.",no_error,no_error
19,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),19,"In affected areas, most experts recommend a practice known as social distancing.","En las áreas afectadas, la mayoría de los expertos recomiendan una práctica denominada distanciamiento social.",no_error,no_error
20,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),20,"Infections spread easily on board, and medical care is limited.","El contagio se propaga fácilmente a bordo de una embarcación, y la atención médica es limitada.",expansion_impact,critical
21,Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),Safe to share as-is (no or minimal risk),21,Local transmission is established in many countries in all major inhabited regions of the world except some Pacific island nations.,"Se ha establecido la transmisión local en muchos países, en todas las regiones de mayor población del mundo, con excepción de algunas naciones de las islas del Pacífico.",no_error,no_error
22,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),22,"Long-term effects for people who have recovered remain unclear, but there is evidence of reduced lung capacity in some recovered patients.","Todavía no quedan claros los efectos a largo plazo para las personas que se han recuperado, pero hay evidencia de reducción de la capacidad pulmonar en algunos pacientes recuperados y problemas cardíacos.",expansion_impact,critical
23,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),23,"Mask shortages mean that healthcare workers are having trouble getting a hold of masks, which puts everyone at risk.","La escasez de mascarillas significa que los trabajadores de la salud y los pacientes están teniendo problemas para conseguir mascarillas, lo cual pone a todo el mundo en riesgo.",expansion_impact,critical
24,Needs bilingual review before sharing (potential issues),Safe to share as-is (no or minimal risk),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),Needs bilingual review before sharing (potential issues),24,"Not many cases are reported in children and most of these are mild or moderate, though a significant fraction do get pneumonia.","No se informan muchos casos en niños y la mayoría son leves o moderados, aunque en una porción significativa de estos sí se desarrolla severa neumonía.",intensifier,minor
