id,is_shareable,pert_type,en_src,es_tgt,questions,ref_answers,pred_answers,backtranslation,xcomet_annotations,explanation
1,yes,synonym,"A variety of misinformation and conspiracy theories about the virus are being promoted online and even by some government officials, so be careful which sources you check for information.","Se están propagando en línea diversas teorías conspirativas e información errónea sobre el virus, incluso por parte de algunos funcionarios gubernamentales, por lo que debe tener cuidado con las fuentes de las que obtiene información.","[""What kind of information about the virus is being promoted online?"", ""Who is promoting conspiracy theories about the virus?"", ""What kind of practice is recommended?""]","[""Misinformation and conspiracy theories"", ""Some government officials and online sources"", ""To be careful which sources you check for information""]","[""Misinformation and conspiracy theories"", ""Some government officials"", ""To be careful which sources you check for information""]","Various conspiracy theories and misinformation about the virus are spreading online, including by some government officials, so you should be careful about the sources you get information from.",[],"The Spanish translation accurately conveys the meaning of the English sentence, effectively capturing the warning about misinformation and conspiracy theories being spread online and by government officials. The translation is idiomatic and natural-sounding, making it a high-quality translation."
2,yes,no_error,"Many countries are experiencing a severe shortage of test kits, and the authorities have not been able to test everybody who is at high risk, so the real number of cases is probably much higher than the official one.","Muchos países tienen una marcada escasez de kits de prueba y las autoridades no han podido hacerle la prueba a toda la población de riesgo, por lo que la cantidad real de casos probablemente sea mucho más alta que la oficial.","[""What are many countries experiencing?"", ""Who have the authorities not been able to test?"", ""How is the real number of cases compared to the official one?""]","[""Severe shortage of test kits"", ""Everybody who is at high risk"", ""Much higher""]","[""Severe shortage of test kits"", ""Everybody who is at high risk"", ""Much higher""]","Many countries have a marked shortage of test kits and the authorities have not been able to test the entire risk population, so the real amount of cases is probably much higher than the official.","[{""text"": ""de prueba"", ""confidence"": 0.40994793176651, ""severity"": ""minor"", ""start"": 48, ""end"": 58}, {""text"": ""la prueba"", ""confidence"": 0.45090386271476746, ""severity"": ""minor"", ""start"": 98, ""end"": 108}, {""text"": ""población de riesgo"", ""confidence"": 0.44871753454208374, ""severity"": ""minor"", ""start"": 118, ""end"": 138}]","The Spanish translation is mostly accurate, but it uses \""toda la población de riesgo\"" which is not entirely equivalent to \""everybody who is at high risk\"", a more precise translation would be \""todas las personas en alto riesgo\"". This slight difference may affect the overall meaning of the sentence."
3,yes,no_error,"As of February 2020, the period of infectiousness is unknown, but is likely most significant when people are symptomatic.","Al mes de febrero de 2020, se desconoce el período de infectividad, pero probablemente sea más significativo en el caso de las personas sintomáticas.","[""What is the status of the period of infectiousness as of February 2020?"", ""When is the period of infectiousness likely most significant?""]","[""Unknown"", ""When people are symptomatic""]","[""Unknown"", ""When people are symptomatic""]","As of February 2020, the infectivity period is unknown, but it is probably more significant in the case of symptomatic people.","[{""text"": ""mes"", ""confidence"": 0.41119104623794556, ""severity"": ""minor"", ""start"": 2, ""end"": 6}, {""text"": ""infectividad"", ""confidence"": 0.4177587032318115, ""severity"": ""minor"", ""start"": 53, ""end"": 66}, {""text"": ""personas sintomática"", ""confidence"": 0.4007672667503357, ""severity"": ""minor"", ""start"": 126, ""end"": 147}]","The Spanish translation is mostly accurate, but \""Al mes de febrero de 2020\"" should be \""A partir de febrero de 2020\"" or \""Hasta febrero de 2020\"" to better convey the English phrase \""As of February 2020\""."
4,yes,no_error,"As of March 28, 2020, a total of 571,678 confirmed COVID-19 cases and 26,494 deaths have been reported worldwide.","Al 28 de marzo de 2020, se ha registrado un total de 571 678 casos confirmados de COVID-19 y 26 494 muertes en todo el mundo.","[""What was the total number of confirmed COVID-19 cases reported worldwide as of March 28, 2020?"", ""What was the total number of deaths reported worldwide as of March 28, 2020?""]","[""571,678"", ""26,494""]","[""571,678"", ""26,494""]","As of March 28, 2020, there has been a total of 571 678 confirmed cases of COVID-19 and 26 494 deaths worldwide.","[{""text"": ""2020"", ""confidence"": 0.4271562993526459, ""severity"": ""minor"", ""start"": 17, ""end"": 22}, {""text"": ""26"", ""confidence"": 0.3990219533443451, ""severity"": ""minor"", ""start"": 92, ""end"": 95}]","The Spanish translation is of high quality, accurately conveying the same information as the original English sentence with precise numbers and dates. The translation also correctly uses the Spanish date format (\""Al 28 de marzo\"") and maintains the same level of formality as the original sentence."
5,yes,spelling,"If you are elderly or otherwise in a high-risk group and can be vaccinated for pneumonia, get that vaccination.","Si es un adulto mayor o se encuentra en un grupo de alto riesgo y puede vacunarce contra la neumonía, hágalo.","[""What should you do if you are elderly or in a high-risk group?"", ""Who is recommended to get the vaccination?""]","[""Get the pneumonia vaccination"", ""Elderly or in a high-risk group""]","[""Get vaccinated against pneumonia"", ""Elderly or in a high-risk group""]","If you are an older adult or in a high-risk group and can get vaccinated against pneumonia, do so.","[{'text': 'adult', 'confidence': 0.3948564827442169, 'severity': 'minor', 'start': 8, 'end': 14}, {'text': 'rce', 'confidence': 0.40933912992477417, 'severity': 'minor', 'start': 78, 'end': 81}, {'text': 'neu', 'confidence': 0.40007928013801575, 'severity': 'minor', 'start': 91, 'end': 95}]","The Spanish translation is mostly accurate, but \""adulto mayor\"" is a more formal and less common way to say \""elderly\"" in Spanish, a more natural translation would be \""si es anciano\"" or simply \""si es mayor\"". The rest of the translation conveys the same message as the original English sentence."
6,yes,word_order,"Even more countries have imposed restrictions on arriving travelers, either barring entry (maybe with an exception for local citizens and permanent residents) or requiring you to be quarantined, typically for 14 days.","Incluso más países han impuesto restricciones para los viajeros que llegan al país, ya sea que se les exija que hagan una cuarentena, que suele ser de 14 días, o se les deniegue el ingreso (quizás con la excepción de los ciudadanos y residentes permanentes del país).","[""What restrictions have been imposed on arriving travelers?"", ""Who may be exempt from these travel restrictions?"", ""What is the typical duration of the quarantine period?""]","[""Barring entry or requiring quarantine"", ""Local citizens and permanent residents"", ""14 days""]","[""Requiring travelers to quarantine for 14 days or barring entry"", ""Local citizens and permanent residents"", ""14 days""]","Even more countries have imposed restrictions on travelers arriving into the country, either requiring them to quarantine, which is typically 14 days, or denying them entry (with perhaps the exception of citizens and permanent residents of the country).","[{'text': 'tena', 'confidence': 0.39740943908691406, 'severity': 'minor', 'start': 128, 'end': 132}]","The Spanish translation is of good quality, accurately conveying the original message with proper grammar and vocabulary. However, the sentence structure is slightly altered, which may affect clarity, but overall the translation effectively conveys the restrictions imposed on arriving travelers."
7,yes,synonym,"For instance, most aggregators are not selling tickets from China to the United States (presumably to avoid falling afoul of restrictions and being on the hook for a passenger's flight out).","Por ejemplo, la mayoría de los agregadores turísticos no está vendiendo boletos de China a los Estados Unidos (aparentemente para evitar problemas debido a las restricciones y la obligación de reembolsarle al pasajero un viaje de salida).","[""What countries are involved in the restrictions on ticket sales?"", ""Why are aggregators not selling tickets from China to the United States?""]","[""China and the United States"", ""To avoid falling afoul of restrictions and being on the hook for a passenger's flight out""]","[""China and the United States"", ""To avoid problems due to restrictions and the obligation to reimburse the passenger for an outbound trip""]","For example, most travel aggregators are not selling tickets from China to the United States (apparently to avoid problems due to restrictions and the obligation to reimburse the passenger for an outbound trip).","[{'text': 'agregadores turístico', 'confidence': 0.4757416844367981, 'severity': 'major', 'start': 30, 'end': 52}, {'text': 'no está vendiendo', 'confidence': 0.38752713799476624, 'severity': 'major', 'start': 53, 'end': 71}, {'text': 'obliga', 'confidence': 0.42894604802131653, 'severity': 'major', 'start': 178, 'end': 185}, {'text': 'de reembolsarle al pasajero un viaje de salida', 'confidence': 0.551597535610199, 'severity': 'major', 'start': 189, 'end': 236}, {'text': '', 'confidence': 0.4028429090976715, 'severity': 'major', 'start': 238, 'end': 239}]","The Spanish translation is mostly accurate, but it introduces an unnecessary phrase \""obligaciones de reembolsarle al pasajero un viaje de salida\"" which alters the original meaning. A more faithful translation would be \""para evitar caer en las restricciones y ser responsables de un pasajero por su vuelo de salida\""."
8,yes,word_order,"If you believe you may be infected, call a hospital or local emergency medical services instead of going in person to avoid infecting others.","Llame a un hospital o a los servicios locales de emergencias médicas si cree que podría haberse contagiado, en vez de ir en persona, para evitar contagiar a otras personas.","[""What should you do if you believe you may be infected?"", ""Why should you call instead of going in person?"", ""What is the purpose of calling a hospital or local emergency medical services?""]","[""Call a hospital or local emergency medical services"", ""To avoid infecting others"", ""To seek medical help without putting others at risk""]","[""Call a hospital or local emergency medical services"", ""To avoid infecting others"", ""To report a possible infection""]","Call a hospital or local emergency medical services if you think you may be infected, rather than going in person, to avoid infecting others.","[{'text': 'se', 'confidence': 0.4037405550479889, 'severity': 'minor', 'start': 93, 'end': 95}, {'text': 'ado', 'confidence': 0.38312268257141113, 'severity': 'minor', 'start': 103, 'end': 106}, {'text': 'ir en persona', 'confidence': 0.4079452455043793, 'severity': 'major', 'start': 117, 'end': 131}]","The Spanish translation is mostly accurate, but the phrase \""being on the hook for a passenger's flight out\"" is better translated to \""ser responsables de un pasaje de regreso del pasajero\"" to convey the idea of being liable for the passenger's return flight. The translation provided uses \""la obligación de reembolsarle al pasajero un viaje de salida\"", which changes the meaning to reimbursing the passenger for their outgoing flight."
9,yes,no_error,Local transmission is established in many countries in all major inhabited regions of the world except some Pacific island nations.,"Se ha establecido la transmisión local en muchos países, en todas las regiones de mayor población del mundo, con excepción de algunas naciones de las islas del Pacífico.","[""What regions of the world have established local transmission?"", ""Which country has regions where local transmission has not been established?""]","[""All major inhabited regions"", ""Pacific island nations""]","[""All major inhabited regions"", ""Pacific island nations""]","The local transmission in many countries has been established, in all regions of largest population in the world, with the exception of some nations of the Pacific Islands.","[{""text"": ""actualiza"", ""confidence"": 0.41594183444976807, ""severity"": ""minor"", ""start"": 13, ""end"": 23}]","The Spanish translation is mostly accurate, but the phrase \""regiones de mayor población\"" could be improved to \""regiones habitadas principales\"" to better match the original English sentence's phrase \""major inhabited regions\"". This change would enhance the translation's clarity and fidelity to the original text."
10,yes,no_error,"Infections spread easily on board, and medical care is limited.","El contagio se propaga fácilmente a bordo de una embarcación, y la atención médica es limitada.","[""Where do infections spread easily?"", ""What is limited?""]","[""On board"", ""Medical care""]","[""On board"", ""Medical care""]",The contagion is easily propagated aboard a boat and medical care is limited.,"[{""text"": ""gio"", ""confidence"": 0.41270747780799866, ""severity"": ""minor"", ""start"": 8, ""end"": 11}]","The Spanish translation is mostly accurate, but the phrase \""on board\"" is more commonly translated to \""a bordo\"" in a general sense, without specifying \""de una embarcación\"" which implies a ship. A more natural translation would be \""A bordo se propagan fácilmente las infecciones y la atención médica es limitada\""."
